gene_id	20.NM1__d1	20.NM1__d2
H2NCmale_00000714-RA	0	0
H2NCmale_00000715-RA	0	0
H2NCmale_00000717-RA	0	0
H2NCmale_00000718-RA	0	0
H2NCmale_00000719-RA	0	0
H2NCmale_00000723-RA	0	0
H2NCmale_00000724-RA	0	0
H2NCmale_00000725-RA	0	0
H2NCmale_00000726-RA	0	0
H2NCmale_00000727-RA	0	0
H2NCmale_00000729-RA	0	0
H2NCmale_00000730-RA	0	0
H2NCmale_00000731-RA	0	0
H2NCmale_00000732-RA	0	0
H2NCmale_00000733-RA	0	0
H2NCmale_00000734-RA	0	0
H2NCmale_00000735-RA	0	0
H2NCmale_00000736-RA	0	0
H2NCmale_00000737-RA	0	0
H2NCmale_00000738-RA	0	0
H2NCmale_00000739-RA	0	0
H2NCmale_00000740-RA	0	0
H2NCmale_00000741-RA	0	0
H2NCmale_00000743-RA	0	0
H2NCmale_00000744-RA	0	0
H2NCmale_00000745-RA	0	0
H2NCmale_00000746-RA	0	0
H2NCmale_00000747-RA	0	0
H2NCmale_00000748-RA	0	0
H2NCmale_00000749-RA	0	0
H2NCmale_00000750-RA	0	0
H2NCmale_00000751-RA	0	0
H2NCmale_00000752-RA	0	0
H2NCmale_00000753-RA	0	0
H2NCmale_00000755-RA	0	0
H2NCmale_00000757-RA	0	0
H2NCmale_00000758-RA	0	0
H2NCmale_00000759-RA	0	0
H2NCmale_00000760-RA	0	0
H2NCmale_00000761-RA	0	0
H2NCmale_00000762-RA	0	0
H2NCmale_00000763-RA	0	0
H2NCmale_00000764-RA	0	0
H2NCmale_00000765-RA	0	0
H2NCmale_00000766-RA	0	0
H2NCmale_00000767-RA	0	0
H2NCmale_00000768-RA	0	0
H2NCmale_00000769-RA	0	0
H2NCmale_00000790-RA	0	0
H2NCmale_00000791-RA	0	0
H2NCmale_00000804-RA	0	0
H2NCmale_00000805-RA	0	0
H2NCmale_00000808-RA	0	0
H2NCmale_00000809-RA	0	0
H2NCmale_00000813-RA	0	0
H2NCmale_00000814-RA	0	0
H2NCmale_00000816-RA	0	0
H2NCmale_00000818-RA	0	0
H2NCmale_00000819-RA	0	0
H2NCmale_00000822-RA	0	0
H2NCmale_00000825-RA	0	0
H2NCmale_00000826-RA	0	0
H2NCmale_00000827-RA	0	0
H2NCmale_00000829-RA	0	0
H2NCmale_00000830-RA	0	0
H2NCmale_00000831-RA	0	0
H2NCmale_00000832-RA	0	0
H2NCmale_00000833-RA	0	0
H2NCmale_00000834-RA	0	0
H2NCmale_00000835-RA	0	0
H2NCmale_00000836-RA	0	0
H2NCmale_00000837-RA	0	0
H2NCmale_00000838-RA	0	0
H2NCmale_00000840-RA	0	0
H2NCmale_00000841-RA	0	0
H2NCmale_00000842-RA	0	0
H2NCmale_00000844-RA	0	0
H2NCmale_00000845-RA	0	0
H2NCmale_00000846-RA	0	0
H2NCmale_00000847-RA	0	0
H2NCmale_00000848-RA	0	0
H2NCmale_00000849-RA	0	0
H2NCmale_00000850-RA	0	0
H2NCmale_00000851-RA	0	0
H2NCmale_00000852-RA	0	0
H2NCmale_00000853-RA	0	0
H2NCmale_00000854-RA	0	0
H2NCmale_00000855-RA	0	0
H2NCmale_00000856-RA	0	0
H2NCmale_00000857-RA	0	0
H2NCmale_00000858-RA	0	0
H2NCmale_00000859-RA	0	0
H2NCmale_00000860-RA	0	0
H2NCmale_00000861-RA	0	0
H2NCmale_00000862-RA	0	0
H2NCmale_00000863-RA	0	0
H2NCmale_00000864-RA	0	0
H2NCmale_00000865-RA	0	0
H2NCmale_00000866-RA	0	0
H2NCmale_00000867-RA	0	0
H2NCmale_00000868-RA	0	0
H2NCmale_00000869-RA	0	0
H2NCmale_00000870-RA	0	0
H2NCmale_00000871-RA	0	0
H2NCmale_00000872-RA	0	0
H2NCmale_00000873-RA	0	0
H2NCmale_00000874-RA	0	0
H2NCmale_00000875-RA	0	0
H2NCmale_00000876-RA	0	0
H2NCmale_00000877-RA	0	0
H2NCmale_00000878-RA	0	0
H2NCmale_00000879-RA	0	0
H2NCmale_00000881-RA	0	0
H2NCmale_00000882-RA	0	0
H2NCmale_00000884-RA	0	0
H2NCmale_00000885-RA	0	0
H2NCmale_00000886-RA	0	0
H2NCmale_00000887-RA	0	0
H2NCmale_00000889-RA	0	0
H2NCmale_00000891-RA	0	0
H2NCmale_00000892-RA	0	0
H2NCmale_00000893-RA	0	0
H2NCmale_00000895-RA	0	0
H2NCmale_00000896-RA	0	0
H2NCmale_00000897-RA	0	0
H2NCmale_00000898-RA	0	0
H2NCmale_00000899-RA	0	0
H2NCmale_00000905-RA	0	0
H2NCmale_00000906-RA	0	0
H2NCmale_00000908-RA	0	0
H2NCmale_00000909-RA	0	0
H2NCmale_00000911-RA	0	0
H2NCmale_00000915-RA	0	0
H2NCmale_00000916-RA	0	0
H2NCmale_00000918-RA	0	0
H2NCmale_00000919-RA	0	0
H2NCmale_00000920-RA	0	0
H2NCmale_00000921-RA	0	0
H2NCmale_00000922-RA	0	0
H2NCmale_00000923-RA	0	0
H2NCmale_00000928-RA	0	0
H2NCmale_00000929-RA	0	0
H2NCmale_00000930-RA	0	0
H2NCmale_00000931-RA	0	0
H2NCmale_00000932-RA	0	0
H2NCmale_00000933-RA	0	0
H2NCmale_00000934-RA	0	0
H2NCmale_00000935-RA	0	0
H2NCmale_00000937-RA	0	0
H2NCmale_00000938-RA	0	0
H2NCmale_00000939-RA	0	0
H2NCmale_00000940-RA	0	0
H2NCmale_00000941-RA	0	0
H2NCmale_00000942-RA	0	0
H2NCmale_00000943-RA	0	0
H2NCmale_00000944-RA	0	0
H2NCmale_00000946-RA	0	0
H2NCmale_00000947-RA	0	0
H2NCmale_00000948-RA	0	0
H2NCmale_00000949-RA	0	0
H2NCmale_00000950-RA	0	0
H2NCmale_00000951-RA	0	0
H2NCmale_00000952-RA	0	0
H2NCmale_00000953-RA	0	0
H2NCmale_00000954-RA	0	0
H2NCmale_00000955-RA	0	0
H2NCmale_00000956-RA	0	0
H2NCmale_00000957-RA	0	0
H2NCmale_00000968-RA	0	0
H2NCmale_00000969-RA	0	0
H2NCmale_00000972-RA	0	0
H2NCmale_00000973-RA	0	0
H2NCmale_00000974-RA	0	0
H2NCmale_00000975-RA	0	0
H2NCmale_00000976-RA	0	0
H2NCmale_00000982-RA	0	0
H2NCmale_00000983-RA	0	0
H2NCmale_00000984-RA	0	0
H2NCmale_00000988-RA	0	0
H2NCmale_00000995-RA	0	0
H2NCmale_00001000-RA	0	0
H2NCmale_00001003-RA	0	0
H2NCmale_00001004-RA	0	0
H2NCmale_00001005-RA	0	0
H2NCmale_00001006-RA	0	0
H2NCmale_00001009-RA	0	0
H2NCmale_00001022-RA	0	0
H2NCmale_00001023-RA	0	0
H2NCmale_00001028-RA	0	0
H2NCmale_00001029-RA	0	0
H2NCmale_00001030-RA	0	0
H2NCmale_00001031-RA	0	0
H2NCmale_00001035-RA	0	0
H2NCmale_00001036-RA	0	0
H2NCmale_00001037-RA	0	0
H2NCmale_00001038-RA	0	0
H2NCmale_00001039-RA	0	0
H2NCmale_00001040-RA	0	0
H2NCmale_00001041-RA	0	0
H2NCmale_00001042-RA	0	0
H2NCmale_00001043-RA	0	0
H2NCmale_00001044-RA	0	0
H2NCmale_00001045-RA	0	0
H2NCmale_00001046-RA	0	0
H2NCmale_00001047-RA	0	0
H2NCmale_00001048-RA	0	0
H2NCmale_00001049-RA	0	0
H2NCmale_00001051-RA	0	0
H2NCmale_00001052-RA	0	0
H2NCmale_00001053-RA	0	0
H2NCmale_00001054-RA	0	0
H2NCmale_00001056-RA	0	0
H2NCmale_00001057-RA	0	0
H2NCmale_00001058-RA	0	0
H2NCmale_00001061-RA	0	0
H2NCmale_00001063-RA	0	0
H2NCmale_00001064-RA	0	0
H2NCmale_00001065-RA	0	0
H2NCmale_00001068-RA	0	0
H2NCmale_00001074-RA	0	0
H2NCmale_00001075-RA	0	0
H2NCmale_00001076-RA	0	0
H2NCmale_00001077-RA	0	0
H2NCmale_00001078-RA	0	0
H2NCmale_00001079-RA	0	0
H2NCmale_00001080-RA	0	0
H2NCmale_00001081-RA	0	0
H2NCmale_00001082-RA	0	0
H2NCmale_00001083-RA	0	0
H2NCmale_00001085-RA	0	0
H2NCmale_00001086-RA	0	0
H2NCmale_00001087-RA	0	0
H2NCmale_00001089-RA	0	0
H2NCmale_00001090-RA	0	0
H2NCmale_00001092-RA	0	0
H2NCmale_00001093-RA	0	0
H2NCmale_00001094-RA	0	0
H2NCmale_00001095-RA	0	0
H2NCmale_00001096-RA	0	0
H2NCmale_00001098-RA	0	0
H2NCmale_00001100-RA	0	0
H2NCmale_00001101-RA	0	0
H2NCmale_00001102-RA	0	0
H2NCmale_00001104-RA	0	0
H2NCmale_00001105-RA	0	0
H2NCmale_00001106-RA	0	0
H2NCmale_00001107-RA	0	0
H2NCmale_00001108-RA	0	0
H2NCmale_00001109-RA	0	0
H2NCmale_00001110-RA	0	0
H2NCmale_00001111-RA	0	0
H2NCmale_00001112-RA	0	0
H2NCmale_00001113-RA	0	0
H2NCmale_00001114-RA	0	0
H2NCmale_00001115-RA	0	0
H2NCmale_00001116-RA	0	0
H2NCmale_00001117-RA	0	0
H2NCmale_00001118-RA	0	0
H2NCmale_00001119-RA	0	0
H2NCmale_00001120-RA	0	0
H2NCmale_00001121-RA	0	0
H2NCmale_00001122-RA	0	0
H2NCmale_00001123-RA	0	0
H2NCmale_00001124-RA	0	0
H2NCmale_00001125-RA	0	0
H2NCmale_00001126-RA	0	0
H2NCmale_00001127-RA	0	0
H2NCmale_00001128-RA	0	0
H2NCmale_00001129-RA	0	0
H2NCmale_00001130-RA	0	0
H2NCmale_00001131-RA	0	0
H2NCmale_00001132-RA	0	0
H2NCmale_00001133-RA	0	0
H2NCmale_00001134-RA	0	0
H2NCmale_00001135-RA	0	0
H2NCmale_00001136-RA	0	0
H2NCmale_00001137-RA	0	0
H2NCmale_00001138-RA	0	0
H2NCmale_00001139-RA	0	0
H2NCmale_00001140-RA	0	0
H2NCmale_00001141-RA	0	0
H2NCmale_00001145-RA	0	0
H2NCmale_00001148-RA	0	0
H2NCmale_00001149-RA	0	0
H2NCmale_00001150-RA	0	0
H2NCmale_00001151-RA	0	0
H2NCmale_00001152-RA	0	0
H2NCmale_00001153-RA	0	0
